"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City","Location"
"sos6","Teochew Hai Gang Fish Soup 潮州海港鱼汤 (Toa Payoh)","Asian","4","(1)","Singapore",""
"cc4y","Homtang Thai (Balestier Road)","Thai","4.9","(9)","Singapore",""
"sh3w","Xin Mei Xiang Zheng Zong Lor Mee 新美香正宗卤面 (Balestier)","Noodles","4.4","(100+)","Singapore",""
"ih76","Soon Huat BBQ Seafood (Lorong 4 Toa Payoh)","Seafood","4.3","(100+)","Singapore",""
"yrj9","BaliNice Mala Hotpot 八里香麻辣香锅 (Lorong 1 Toa Payoh)","Snacks","4.2","(89)","Singapore",""
"s1jq","Shi Kou Seafood (Balestier Road)","Chinese","4.3","(500+)","Singapore",""
"c8dk","Tea Apothecary (Toa Payoh View)","Bubble Tea","4.7","(100+)","Singapore",""
"x7gm","Xiao Lao Ban Xiang Guo 小老板香锅 (Balestier Road)","Curry","4.1","(100+)","Singapore",""
"x2ku","Thai Tai 泰太 (Former Noodle ThaiThai)","Thai","4.7","(3000+)","Singapore",""
"h6sj","Fire Rice (125 Toa Payoh Lorong)","Fried Rice","4.9","(13)","Singapore",""
"x6te","Lechon Republic (Novena Regency)","Filipino","4.7","(1000+)","Singapore",""
"ogb9","Naowarat Thai Cuisine (Monville Mansion)","Thai","4.1","(20)","Singapore",""
"vclh","Niche Savoureuse (Lorong 1 Toa Payoh)","Western","4","(1)","Singapore",""
"x8aj","Full Feast Seafood (Johnson Eatery)","Seafood","4.5","(100+)","Singapore",""
"q1pd","Lam's Noodle & Salt Baked Chicken  (Koufu 500 TPY)","Noodles","4.6","(500+)","Singapore",""
"yvv4","Western Boy Classic (Koufu @ HDB Hub)","Pasta","4.5","(100+)","Singapore",""
"x9qd","Eday Western (Lorong 1 Toa Payoh)","Western","4.5","(500+)","Singapore",""
"ivi3","Meet Noodles (Toa Payoh)","Chinese","4.8","(29)","Singapore",""
"bj6v","Zhenwei ZiChar (126 Lor 1 Toa Payoh)","Asian","4.3","(43)","Singapore",""
"sue4","Haituhotpot (520 Balestier Road)","Chinese","4","(1)","Singapore",""
"phu9","一人饭 1Pax Bowl (558 Balestier)","Chinese","3.8","(21)","Singapore",""
"ij4n","4Fingers Crispy Chicken (Balestier)","Fried Chicken","4.6","(1000+)","Singapore",""
"dvvf","Pontian Wanton Noodle X Nanyang Noodle House (Lorong 1 Toa Payoh)","Chinese","4.6","(100+)","Singapore",""
"k95g","Sing Swee Kee Chicken Rice (Toa Payoh)","Chicken","4.2","(100+)","Singapore",""
"tu6w","Whampoa Keng Fish Head Steamboat Restaurant (Balestier Road) - Islandwide Delivery","Chinese","4.9","(5)","Singapore",""
"x4rx","Hua Zai Frog Porridge & BBQ Seafood (Toa Payoh)","Porridge","4.4","(1000+)","Singapore",""
"a3i1","Balestier Seafood 马来西亚风味 (Balestier Road)","Malaysian","4.5","(100+)","Singapore",""
"vhj8","ARIFF'S CURRY - INDIAN FOOD PRATA CURRY HOUSE (381 Toa Payoh)","Indian","4.1","(67)","Singapore",""
"zjhr","The Ritual (Bukit Timah Road) - Islandwide Delivery","Beverages","5","(4)","Singapore",""
"rka8","NIU HONGHONG RESTAURANT  牛哄哄食堂 (Toa Payoh)","Chinese","5","(3)","Singapore",""
"qnii","Nana's Açaí (Toa Payoh Lorong 2)","Dessert","4.9","(100+)","Singapore",""
"x5xw","Mr YouTiao Café & Meals (Square 2)","Porridge","4.3","(500+)","Singapore",""
"v6zw","Viet Thai Cuisine (Toa Payoh)","Asian","4.2","(500+)","Singapore",""
"y3ab","Ichiban Bento (Toa Payoh Hub)","Japanese","4.7","(500+)","Singapore",""
